coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,hemisphere
523,1623.97808273879,2346.28541915543,98,108,223,right
523,1953.19294339784,2420.59848236245,120,100,222,right
523,1945.2022914401,2430.18726471174,119,99,222,right
523,1922.82846595841,2458.15454656384,117,96,223,right
523,1940.40790026545,2455.75735097652,119,96,223,right
524,1814.15559933309,2416.60315638358,110,101,222,right
524,1794.97803463451,2416.60315638358,109,101,222,right
524,1863.69764147111,2433.38352549484,114,99,222,right
524,1895.66024930208,2430.98632990751,115,99,221,right
524,1874.88455421195,2381.4442877695,115,104,221,right
524,1872.48735862463,2325.50972406529,115,109,221,right
524,1938.8097698739,2344.68728876388,119,107,221,right
524,1974.76770368375,2244.80413929208,123,116,220,right
524,1659.13695135286,2074.60325259213,102,134,219,right
525,1837.32849001055,2278.3648775146,113,113,221,right
525,1830.13690324858,2262.38357359912,113,116,220,right
525,1797.37523022183,2252.79479124982,110,116,220,right
525,1752.62757925846,2229.62190057236,108,119,220,right
525,1750.23038367114,2292.74805103854,107,112,221,right
525,1939.60883506968,2474.13585047933,119,95,222,right
525,1973.96863848797,2424.59380834132,121,100,221,right
525,1723.86123221059,1953.94440803019,108,145,218,right
525,1790.18364345986,2149.71538099492,111,126,220,right
525,1743.83786210495,2450.1638946061,105,99,222,right
525,1735.04814495143,2454.95828578075,105,99,222,right
525,1691.09955918384,2429.38819951597,102,100,222,right
525,1710.27712388242,2444.57043823568,103,99,222,right
526,1832.53409883591,2038.64531878228,115,136,219,right
526,2024.30974582176,2568.42554358071,124,86,222,right
527,1825.34251207394,2428.58913432019,111,99,221,right
527,1780.59486111057,2434.18259069061,108,99,221,right
527,1658.33788615708,2453.3601553892,100,99,221,right
527,1721.46403662326,2463.74800293427,104,97,221,right
527,1703.88460231623,2540.45826172861,102,90,222,right
527,1767.0107527824,2163.29948932309,109,125,219,right
527,1953.19294339784,2283.15926868925,122,112,219,right
527,1854.10885912181,2390.23400492302,113,103,220,right
527,1831.73503364013,2332.70131082726,112,108,220,right
527,1862.89857627533,2307.13122456248,115,110,220,right
527,1779.79579591479,2379.84615737795,108,104,220,right
528,1872.48735862463,2457.35548136807,114,96,221,right
528,1886.87053214856,2351.87887552585,116,106,220,right
528,1931.61818311193,2391.83213531457,119,102,220,right
528,1979.5620948584,2368.65924463711,122,105,220,right
529,1703.08553712045,2382.24335296528,103,105,219,right
529,1874.08548901617,2106.56586042311,117,129,217,right
529,1873.2864238204,2090.58455650762,117,131,217,right
529,1804.5668169838,2298.34150740896,111,112,218,right
529,1717.46871064439,2216.0377922442,105,120,218,right
529,1733.45001455988,2215.23872704843,106,120,218,right
529,1680.71171163877,2334.29944121881,102,109,219,right
529,1931.61818311193,2415.8040911878,118,100,219,right
529,1935.6135090908,2491.71528478637,118,94,219,right
529,1983.55742083727,2496.50967596102,122,93,219,right
529,1845.3191419683,2454.15922058497,112,98,219,right
529,1870.88922823308,2431.78539510329,114,99,219,right
530,1854.10885912181,2368.65924463711,113,105,219,right
530,1894.06211891053,2386.23867894415,116,104,219,right
530,1815.75372972464,2170.49107608506,112,123,218,right
530,1821.34718609506,2184.07518441322,113,122,218,right
530,1874.08548901617,2201.65461872026,116,120,218,right
530,1905.24903165138,2268.77609516531,118,114,218,right
530,1882.07614097392,2277.56581231883,116,113,218,right
531,1807.7630777669,2461.35080734694,110,97,220,right
531,1779.79579591479,2501.30406713566,107,93,220,right
531,1818.15092531197,2505.29939311453,110,93,220,right
531,1697.49208075003,2506.09845831031,102,94,220,right
531,1671.12292928948,2498.10780635257,100,94,221,right
531,1954.79107378939,1999.49112418934,124,140,216,right
531,1909.24435763025,2458.95361175962,116,96,219,right
531,1892.46398851899,2524.47695781312,115,90,220,right
531,2009.12750710205,2560.43489162297,123,87,220,right
531,1910.04342282602,2562.83208721029,115,88,220,right
531,1874.08548901617,2561.23395681874,113,88,220,right
531,1869.29109784153,2570.82273916804,112,87,220,right
531,1858.10418510069,2504.50032791876,113,93,220,right
531,1917.23500958799,2578.01432593001,116,86,220,right
531,1917.23500958799,2544.45358770748,116,89,220,right
531,1905.24903165138,2610.77599895676,115,83,220,right
531,1989.94994240346,2607.57973817366,121,82,220,right
532,1879.6789453866,2588.40217347507,113,85,219,right
532,1951.59481300629,2593.99562984549,118,84,219,right
533,1824.54344687816,2521.28069703002,110,92,219,right
533,1802.96868659225,2536.46293574974,109,91,219,right
533,1916.43594439222,2484.5236980244,117,94,218,right
533,1954.79107378939,2446.16856862723,120,97,218,right
533,1886.07146695279,2445.36950343145,115,97,218,right
533,1659.93601654863,2450.1638946061,100,99,219,right
533,1637.56219106695,2438.17791666948,98,100,219,right
533,1655.14162537399,2483.72463282863,99,95,219,right
533,1669.52479889793,2479.72930684975,100,96,219,right
533,1905.24903165138,2479.72930684975,116,95,218,right
533,1911.64155321757,2504.50032791876,116,92,219,right
533,1989.94994240346,2472.53772008778,122,94,218,right
533,1997.94059436121,2453.3601553892,123,97,218,right
533,2017.11815905979,2410.21063481738,124,101,217,right
533,1885.27240175702,2324.71065886952,116,109,217,right
